id,airport_ref,airport_ident,length_ft,width_ft,surface
250455,21940,ME04,2600,500,Water
264192,45444,ME07,10000,2000,Water
257143,21944,ME09,8200,1000,Water
257144,21944,ME09,7000,3000,Water
249947,21945,ME11,3000,500,Water
249948,21945,ME11,4000,500,Water
250345,21946,ME12,3000,200,Water
250346,21946,ME12,3500,700,Water
240112,21948,ME16,12101,300,Asphalt
254386,21958,ME27,5000,200,Water
254387,21958,ME27,10000,200,Water
252770,21959,ME28,5400,600,Water
252771,21959,ME28,3100,300,Water
252772,21959,ME28,2850,200,Water
253265,21960,ME3,15000,1500,Water
255125,21961,ME30,5000,1000,Water
255126,21961,ME30,6000,1200,Water
246366,21972,ME45,1600,40,Gravel
252439,21975,ME5,1500,30,Gravel
254369,21976,ME50,3300,1000,Water
254370,21976,ME50,11000,1000,Water
254940,21977,ME51,7000,500,Water
252924,21978,ME55,1510,60,Gravel
247558,21980,ME57,5000,300,Water
268041,21981,ME58,16,16,Concrete
268042,21982,ME59,100,100,Gravel
329072,329071,ME63,82,82,Asphalt
243089,21987,ME64,4000,28,Asphalt
268043,21988,ME65,30,30,Concrete
252832,21998,ME79,3200,45,Gravel
252833,21998,ME79,5000,500,Water
247446,21999,ME80,3500,1000,Water
334210,334209,ME84,5023,100,Water
256607,22000,ME85,3600,300,Water
246540,22001,ME86,26000,3000,Water
268046,22002,ME87,60,60,Concrete
247422,22005,ME90,8000,400,Water
268047,22009,ME95,40,40,Concrete
251368,22011,MFN,1500,50,Water
236392,3144,MG13,3919,48,Asphalt
236390,4642,MGBN,3236,33,Concrete
236395,4643,MGCB,3340,50,Asphalt
236389,4644,MGGT,9800,196,Asphalt
236393,4645,MGPB,8880,110,Concrete
236391,4646,MGRB,4690,70,Asphalt
236394,4647,MGRT,5065,100,Asphalt
236397,4648,MGSJ,6595,150,Asphalt
236396,4649,MGTK,9842,148,Concrete
270946,42030,MHAC,2624,72,Gravel
270954,42031,MHAG,700,20,Gravel
236418,4660,MHLC,9875,147,Asphalt
236413,4661,MHLM,9203,148,Concrete
270949,42099,MHML,2296,98,Grass
270945,42101,MHMN,3280,23,Grass
270950,42108,MHNC,4100,98,Gravel
236417,4662,MHNJ,3990,66,Asphalt
270947,42114,MHPI,2296,66,Gravel
236414,4663,MHRO,7349,148,Asphalt
236416,4664,MHSC,8008,148,Asphalt
270951,42131,MHSZ,2132,98,Grass
236415,4665,MHTE,4415,98,Asphalt
236420,4666,MHTG,6112,148,Asphalt
